Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
PNI	Koja je sankcija treneru ako udari i baci bocu unutar svog tehničkog prostora?	otvoreno							Sankcija za trenera koji udari i baci bocu unutar svog tehničkog prostora je opomena (žuti karton)	Prema izvorima, ovo su ključna pravila i objašnjenja vezana uz takav incident: • Odgovorno ponašanje: Sve osobe koje se nalaze u tehničkom prostoru, uključujući trenere, moraju se u svakom trenutku ponašati odgovorno. Udaranje ili bacanje predmeta (poput boce) u znak nezadovoljstva unutar vlastitog prostora smatra se oblikom neodgovornog ponašanja. • Ovlasti suca: Sudac je ovlašten poduzeti disciplinske mjere protiv službenih osoba koje se ne ponašaju na odgovoran način. Te mjere uključuju upozorenje, opomenu (žuti karton) ili isključenje (crveni karton) s terena za igru i neposrednog okruženja, što uključuje i tehnički prostor. • Uloga četvrtog suca: Četvrti sudac ima specifičnu dužnost obavijestiti glavnog suca o svakom neodgovornom ponašanju bilo koje osobe u tehničkom prostoru. • Identifikacija počinitelja: Ako službena osoba koja je počinila prekršaj (poput bacanja boce) ne može biti identificirana, sankciju žutog kartona dobit će glavni trener koji se nalazi u tehničkom prostoru. • Razlika u težini prekršaja: Važno je napomenuti da se sankcija pooštrava ako se predmet ne baci samo unutar tehničkog prostora. Da je boca bačena na teren za igru, prema suparniku ili članu sudačkog tima, to bi se smatralo težim prekršajem koji bi mogao rezultirati isključenjem (crvenim kartonom) i nastavkom igre izravnim slobodnim udarcem s granične crte najbliže mjestu prekršaja. S obzirom na to da se u vašem upitu navodi da je radnja izvršena unutar tehničkog prostora, primjenjuje se mjera za neodgovorno ponašanje koja se standardno sankcionira opomenom.	TRUE	TRUE
PNI	Tko sve smije davati upute igračima tijekom utakmice?	otvoreno							Prema izvorima, taktičke upute igračima tijekom utakmice smiju se davati pod sljedećim uvjetima: • Trener ili pomoćni trener: Prema odluci Izvršnog odbora HNS-a, taktičke upute iz tehničkog prostora smije davati isključivo trener ili pomoćni trener u bilo koje vrijeme. • Samo jedna osoba: Iako upute mogu davati trener ili pomoćni trener, u svakom danom trenutku to smije činiti samo jedna osoba iz tehničkog prostora. • Odgovorno ponašanje: Osoba koja daje upute mora se u svakom trenutku ponašati odgovorno. • Granice tehničkog prostora: Osobe koje daju upute moraju ostati unutar granica tehničkog prostora, osim u posebnim okolnostima (npr. ulazak medicinske službe uz dopuštenje suca).	Sve osobe koje se nalaze u tehničkom prostoru, uključujući one koji daju upute, moraju biti identificirane prije početka utakmice. Također, važno je napomenuti da kapetan momčadi, iako nema posebne privilegije za davanje uputa u smislu tehničkog prostora, ima određeni stupanj odgovornosti za ponašanje svoje momčadi na terenu. 	TRUE	TRUE
PNI	Što treba suditi ako zamjenski igrač uleti u teren i pokuša spriječiti gol tako što dira loptu, a ona svejedno uđe u gol?	otvoreno							U situaciji u kojoj zamjenski igrač neovlašteno uđe na teren za igru i pokuša spriječiti pogodak dodirivanjem lopte, ali lopta ipak uđe u vrata, sudac mora donijeti sljedeće odluke: • Priznavanje pogotka: Sudac mora priznati pogodak. Prema izvorima, ako se lopta kreće prema vratima, a ometanje ne sprječava obrambenog igrača da igra loptom, pogodak se priznaje ako lopta uđe u vrata, čak i ako je postojao kontakt s loptom (pod uvjetom da igru nije ometala momčad koja napada). • Disciplinska mjera: Zamjenski igrač mora biti opomenut (žuti karton). Iako je ulazak na teren bez dozvole radi ometanja igre i pokušaja sprječavanja pogotka težak prekršaj, u situacijama kada je pogodak ipak postignut, primjenjuje se načelo slično pravilu prednosti; budući da pogodak nije spriječen, kazna se s isključenja (crvenog kartona) smanjuje na opomenu (žuti karton) zbog nesportskog ponašanja. • Identifikacija prekršaja: Važno je napomenuti da zamjenski igrač čini prekršaj čim uđe na teren bez sučevog odobrenja. Da je igrač uspio spriječiti loptu da uđe u gol, tada bi morao biti isključen (crveni karton), a igra bi se nastavila izravnim slobodnim udarcem ili kaznenim udarcem. • Nastavak igre: Budući da je pogodak priznat, utakmica se nastavlja početnim udarcem. Sudac je također obvezan o ovom incidentu izvijestiti nadležno tijelo.		TRUE	TRUE
PNI	Što suditi kad se igrač nalazi u poziciji zaleđa?	otvoreno							Kada se igrač nalazi u poziciji zaleđa, važno je naglasiti da samo po sebi to nije prekršaj. Sudac u tom trenutku ne sudi ništa, već dopušta da se igra nastavi sve dok se ne ispune uvjeti za kažnjivo zaleđe. Evo detaljnih pravila o tome što sudac treba uzeti u obzir: 1. Kada se igrač nalazi u poziciji zaleđa? Igrač je u poziciji zaleđa ako se bilo koji dio njegove glave, trupa ili noge nalazi na suparničkoj polovici terena (isključujući središnju crtu) te ako je taj dio tijela bliže suparničkoj poprečnoj crti od lopte i pretposljednjeg suparničkog igrača. Šake i ruke igrača, uključujući i vratara, ne uzimaju se u obzir pri određivanju pozicije. Igrač nije u zaleđu ako je u istoj ravnini s pretposljednjim suparnikom ili dvojicom posljednjih suparničkih igrača. 2. Kada pozicija postaje prekršaj? Igrač u poziciji zaleđa bit će sankcioniran samo ako se u trenutku kada njegov suigrač odigra ili dodirne loptu uključi u aktivnu igru na jedan od sljedećih načina: • Utjecajem na igru: Odigravanjem ili dodirivanjem lopte koju mu je dodao suigrač. • Utjecajem na suparnika: Onemogućavanjem suparnika da igra loptom (npr. ometanjem vidnog polja), ulaskom u borbu za loptu ili jasnim pokušajem igranja loptom koji utječe na suparnika. • Stjecanjem prednosti: Igranjem loptom koja se odbila ili skrenula od stupa vrata, grede, člana sudačkog tima ili suparničkog igrača. 3. Kada nema prekršaja? Čak i ako je igrač u poziciji zaleđa, sudac neće dosuditi prekršaj ako on primi loptu izravno iz: • Udarca s vrata. • Ubacivanja (auta). • Udarca iz kuta (kornera). Također, smatra se da igrač nije stekao prednost ako primi loptu od suparnika koji je njome namjerno igrao (osim u slučaju namjerne obrane). 4. Sankcija i nastavak igre Ako se dogodi kažnjivo zaleđe, sudac dosuđuje neizravni slobodni udarac. Ovaj se udarac izvodi s mjesta gdje se prekršaj dogodio, što uključuje i mjesto na kojem se igrač uključio u aktivnu igru, čak i ako je to mjesto unutar njegove vlastite polovice terena za igru. Pomoćni suci označavaju zaleđe podizanjem zastavice u zrak, a potom spuštanjem pod određenim kutom kako bi označili je li zaleđe bilo na bližoj (135°), srednjoj (90°) ili udaljenoj strani terena (45°). Na utakmicama s VAR tehnologijom, pomoćni suci mogu odgoditi signalizaciju zaleđa u izglednim prilikama dok se akcija ne završi.		TRUE	TRUE
PNI	Igrač izvede početni udarac i zabije gol. Što se treba dosuditi?	otvoreno							U situaciji u kojoj igrač izvede početni udarac i lopta uđe u vrata, odluka ovisi o tome u čija je vrata lopta ušla: • Pogodak u suparnička vrata: Ako se lopta uputi izravno u suparnička vrata, pogodak se priznaje. Prema izvorima, pogodak protivničkoj momčadi može biti postignut izravno iz početnog udarca. • Uvjet za loptu u igri: Da bi pogodak bio valjan, lopta mora prethodno biti u igri, što se događa kada je udarena i jasno pomaknuta u bilo kojem smjeru. Također, lopta mora nepomično stajati na oznaci središta terena prije samog izvođenja. • Nastavak igre nakon gola: Nakon što je na ovaj način postignut pogodak, utakmica se nastavlja tako što suparnička momčad izvodi početni udarac. • Pogodak u vlastita vrata: U slučaju da lopta iz početnog udarca uđe izravno u vrata igrača koji ga je izveo (vlastita vrata), pogodak se ne priznaje, već se dosuđuje udarac iz kuta (korner) za suparničku momčad. Važno je napomenuti da se pri svakom početnom udarcu svi igrači, osim onoga koji izvodi udarac, moraju nalaziti na svojoj polovici terena, a suparnici moraju biti udaljeni najmanje 9,15 metara od lopte dok ona ne uđe u igru.		TRUE	TRUE
PNI	Koliko metara igrači trebaju biti udaljeni pri spuštanju lopte?	otvoreno							Pri spuštanju lopte, svi igrači obje momčadi (osim onoga za kojeg se lopta spušta) moraju biti udaljeni najmanje 4 metra od mjesta na kojem sudac spušta loptu, sve dok ona ne bude u igri.	Evo detaljnijih pravila i specifičnosti vezanih uz ovaj postupak: • Postupak spuštanja: Sudac loptu spušta isključivo za jednog igrača. Ako se igra zaustavi u kaznenom prostoru, lopta se spušta za vratara. U svim ostalim slučajevima, spušta se za igrača momčadi koja je posljednja dodirnula loptu na mjestu zadnjeg dodira. • Kada je lopta u igri: Lopta postaje aktivna onog trenutka kada dotakne tlo. • Disciplinske mjere: Ako igrač ne poštuje propisanu udaljenost od 4 metra prije nego što lopta uđe u igru, sudac mu mora pokazati žuti karton (opomenu) zbog nesportskog ponašanja. • Ponavljanje postupka: Spuštanje lopte će se ponoviti ako igrač dodirne loptu prije nego što ona dotakne tlo ili ako lopta napusti teren nakon što dotakne tlo, a da je nitko nije dodirnuo. • Postizanje pogotka: Iz spuštene lopte ne može se postići pogodak izravno; lopta mora dodirnuti barem dvojicu igrača da bi pogodak bio priznat. Ako nakon spuštanja uđe izravno u suparnička vrata, dosuđuje se udarac s vrata, a ako uđe u vlastita vrata, dosuđuje se udarac iz kuta. Za razliku od drugih načina nastavka igre, poput početnog udarca, slobodnih udaraca ili udarca iz kuta gdje je propisana udaljenost suparnika 9,15 metara, kod spuštanja lopte ta je udaljenost značajno manja i iznosi 4 metra za sve ostale sudionike.	TRUE	TRUE
PNI	Igrač tijekom igre udari suparničkog igrača izvan terena za igru. Što se treba dosuditi?	otvoreno							Ako igrač tijekom igre (dok je lopta u igri) udari suparničkog igrača izvan terena za igru, sudac mora primijeniti stroge disciplinske i tehničke sankcije u skladu s Pravilima nogometne igre: • Disciplinska sankcija – Crveni karton: Udaranje suparnika smatra se nasilnim ponašanjem (nasilno ponašanje), koje obuhvaća upotrebu ili pokušaj upotrebe prekomjerne sile ili brutalnosti protiv suparnika izvan borbe za loptu, bez obzira na to je li došlo do kontakta. Igrač koji počini takav prekršaj, bilo na terenu ili izvan njega, mora biti isključen (crveni karton). • Nastavak igre – Izravni slobodni udarac: Ako se prekršaj dogodi izvan terena dok je lopta u igri, igra se nastavlja izravnim slobodnim udarcem. Ovaj se udarac izvodi s granične crte (uzdužne ili poprečne crte) na mjestu koje je najbliže mjestu gdje se prekršaj dogodio. • Mogućnost kaznenog udarca: Ako je točka na graničnoj crti koja je najbliža mjestu prekršaja unutar kaznenog prostora igrača koji je počinio prekršaj, sudac mora dosuditi kazneni udarac (jedanaesterac). • Verbalni prekršaji: Važno je napomenuti razliku u težini djela; dok se fizički udarac kažnjava izravnim udarcem, svi eventualni verbalni prekršaji počinjeni u istoj situaciji sankcionirali bi se neizravnim slobodnim udarcem. Ukratko, sudac mora isključiti igrača zbog nasilnog ponašanja i nastaviti igru izravnim slobodnim udarcem (ili kaznenim udarcem) s granične crte najbliže mjestu incidenta.		TRUE	TRUE
PNI	Kada sudac smije dijeliti javne opomene?	otvoreno							Sudac smije izricati javne opomene (pokazivati žuti karton) u točno definiranim vremenskim okvirima i za specifične prekršaje navedene u izvorima. Vremenski okvir i ovlasti • Trajanje ovlasti: Sudac ima pravo poduzeti disciplinske mjere od trenutka kada uđe na teren za igru radi pregleda terena prije utakmice pa sve do napuštanja terena za igru nakon završetka utakmice, što uključuje i eventualno raspucavanje jedanaesteraca. • Pokazivanje kartona: Žuti i crveni kartoni mogu se pokazivati od trenutka ulaska na teren na početku utakmice do samog kraja, uključujući stanku između poluvremena, produžetke i jedanaesterce. • Osobe koje se mogu opomenuti: Opomene se mogu izreći igračima, zamjenskim igračima, zamijenjenim igračima te službenim osobama (trenerima i tehničkom osoblju). Razlozi za izricanje opomene igračima Igrač mora biti opomenut ako počini neki od sljedećih prekršaja: • Odugovlačenje s nastavkom igre. • Izražavanje neslaganja riječima ili djelom (prigovori). • Ulazak, ponovni ulazak ili namjerno napuštanje terena bez sučevog dopuštenja. • Nepoštivanje propisane udaljenosti (npr. kod slobodnih udaraca, udaraca iz kuta ili ubacivanja). • Učestalo kršenje Pravila nogometne igre. • Nesportsko ponašanje, što uključuje pokušaj prijevare suca (simuliranje), preoštre startove u borbi za loptu ili igranje rukom kako bi se zaustavio obećavajući napad. • VAR prekršaji: Ulazak u sučev prostor za pregled snimke (RRA) ili pretjerano korištenje znaka "TV ekrana". • Neprimjerena proslava pogotka: Penjanje na ogradu, provokativno gestikuliranje, skidanje dresa ili pokrivanje glave maskom. Opomene za službene osobe (trenere) Sudac poduzima mjere protiv službenih osoba koje se ne ponašaju na odgovoran način. Ako se počinitelj prekršaja u tehničkom prostoru ne može identificirati, žuti karton dobiva glavni trener. Posebna pravila kod jedanaesteraca Važno je napomenuti da se opomene (žuti kartoni) iz tijeka utakmice i produžetaka ne prenose u izvođenje jedanaesteraca jer se ono smatra odvojenim procesom. Ako igrač dobije žuti karton tijekom utakmice, a zatim i tijekom raspucavanja, on se ne isključuje, već se obje opomene bilježe odvojeno. U slučajevima kada sudac odluči opomenuti osobu, igra se ne smije nastaviti dok disciplinska mjera ne bude provedena, osim u posebnim slučajevima brze primjene prednosti.		TRUE	TRUE
PNI	Vratar izvodi udarac s vrata, lopta dolazi do njegovog suigrača koji se sam nalazi ispred suparničkog vratara i postigne zgoditak. Odluka suca?	otvoreno							Sudac mora priznati pogodak. 	Iako se suigrač nalazio sam ispred suparničkog vratara (što bi u uobičajenim okolnostima bila kažnjiva pozicija zaleđa), u ovoj situaciji nema prekršaja zbog sljedećih pravila: • Izuzetak od pravila zaleđa: Prema izvorima, prekršaja zaleđa nema ako igrač primi loptu izravno iz udarca s vrata, ubacivanja (auta) ili udarca iz kuta (kornera). • Postizanje pogotka: Pravila jasno navode da se pogodak može postići izravno iz udarca s vrata, ali samo protiv suparničke momčadi. • Ispravnost izvođenja: Da bi pogodak bio valjan, lopta je morala biti ispravno ubačena u igru (udarac s bilo kojeg mjesta unutar vratarevog prostora, lopta mora mirovati te biti udarena i jasno pomaknuta). Nakon što je pogodak postignut na ovaj način, utakmica se nastavlja početnim udarcem za momčad koja je primila pogodak.	TRUE	TRUE
PNI	Što se treba dosuditi ako su dvije lopte u terenu za igru, a ta druga ne ometa tijek igre?	otvoreno							Ako u teren za igru uđe dodatna lopta, a ona ne ometa tijek igre, sudac treba dopustiti nastavak igre.	Prema izvorima, u takvoj situaciji vrijede sljedeća pravila: • Nastavak igre: Budući da nema ometanja, sudac ne zaustavlja igru, već dopušta da se akcija nastavi. • Uklanjanje lopte: Sudac je dužan osigurati da se dodatna lopta ukloni s terena za igru u prvoj sljedećoj prilici. • Usporedba s ometanjem: Da je dodatna lopta ometala igru, sudac bi morao zaustaviti igru i nastaviti je spuštanjem lopte na mjestu gdje se nalazila izvorna lopta u trenutku prekida (osim ako je lopta išla u vrata i ometanje nije spriječilo obrambenog igrača da igra loptom). • Naknada vremena: Sudac može odrediti nadoknadu vremena na kraju poluvremena za vrijeme izgubljeno zbog bilo kojeg značajnijeg razloga, što uključuje i eventualne zastoje uzrokovane ometanjem vanjskog čimbenika, poput dodatne lopte. Dakle, osnovno je pravilo da se igra ne prekida ako vanjski predmet (u ovom slučaju lopta) ne utječe na aktivnu igru.	TRUE	TRUE
