Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
UFAF	Središnja ravnina prolazi kroz tijelo i dijeli ga na:	otvoreno							dvije jednake polovice lijevu i desnu	• Središnja ravnina se u literaturi naziva i sagitalna ili medijana ravnina. • Pojmovi koji se vežu uz ovu ravninu su medijalno (bliže središnjoj ravnini) i lateralno (dalje od središnje ravnine). • Ovaj način podjele odražava dvostranu (bilateralnu) simetriju ljudskog tijela.	TRUE	TRUE
UFAF	Medijalno označava da se neka anatomska cjelina nalazi:	otvoreno							blize sredisnjoj ravnini	• Središnja ravnina kineziološki se definira kao sagitalna ili medijana ravnina. • Osim ravnina, za orijentaciju na tijelu ključan je i osnovni stav tijela. • Za orijentaciju na udovima koriste se specifični pojmovi proksimalno (bliže trupu) i distalno (dalje od trupa).	TRUE	TRUE
UFAF	Proksimalno znači da se anatomska cjelina nalazi:	otvoreno							bliže trupu	• Za točno određivanje anatomskih značajki, osim ovih pojmova, koristi se i osnovni stav tijela te glavne tjelesne ravnine (središnja, čeona i poprečna). • Na dugim kostima, poput nadlaktične ili bedrene kosti, gornji kraj se naziva proksimalna epifiza jer je bliži trupu.	TRUE	TRUE
UFAF	Kosti u ljudskom tijelu dijele se na:	otvoreno							kratke, plosnate i duge	Izvori u poglavlju o podjeli kostiju izričito navode četiri osnovne kategorije kostiju prema njihovom obliku: duge kosti, kratke kosti, ravne (plosnate) kosti i nepravilne kosti. Iako su tri navedene u odgovoru točne, klasifikacija u izvorima uključuje i nepravilne kosti (poput kralježaka).  • Duge kosti (poput bedrene kosti) nazivaju se i cjevaste kosti i sastoje se od tijela (dijafize) te dva kraja (proksimalna i distalna epifiza). • Nepravilne kosti su specifična kategorija prikazana u izvorima uz kralježak kao primjer. • Ljudsko tijelo ima ukupno 205-206 kostiju.	TRUE	TRUE
UFAF	Kraljeznica se sastoji od	otvoreno							vratnog, prsnog, slabinskog, križnog i trtičnog dijela 	Kralježnica (columna vertebralis) se dijeli na pet osnovnih dijelova: 1. Vratni (cervikalni) dio – sastoji se od 7 kralježaka. 2. Prsni (torakalni) dio – sastoji se od 12 kralježaka. 3. Slabinski (lumbalni) dio – sastoji se od 5 kralježaka. 4. Križni (sakralni) dio – sastoji se od 5 sraslih kralježaka koji čine križnu kost. 5. Trtični (kokcigalni) dio – sastoji se od 3 do 5 sraslih kralježaka.  Dodatne informacije iz izvora: • Kralježnica je dio koštanog sustava (osteologije) koji s mišićnim i zglobnim sustavom tvori lokomotorni sustav. • Tijelo se sastoji od segmenata (odsječaka), a kralježnica čini središnji potporni stup trupa koji štiti neuralnu cijev (leđnu moždinu). • Cijeli koštani sustav odraslog čovjeka broji 205-206 kostiju.	TRUE	TRUE
UFAF	Vratna kraljeznica se sastoji od __ kraljezaka	otvoreno							7	• Cijela kralježnica (columna vertebralis) sastoji se od segmenata: vratnog (7), prsnog (12), slabinskog (5), križnog (5 sraslih) i trtičnog (3-5 sraslih) dijela. • Ljudski kostur ukupno broji 205-206 kostiju.	TRUE	TRUE
UFAF	Napisati koje dvije kosti cine rameni zglob	otvoreno							nadlakticna kost, lopatica	Izvori koji prikazuju građu pokretnih zglobova, konkretno na primjeru ramena, identificiraju lopaticu (scapula) i njezinu zglobnu čašicu (glenoid cavity) kao fiksni dio, dok se nadlaktična kost (humerus) veže na nju preko svoje glave. Ovi dijelovi zajedno čine funkcionalni rameni zglob koji omogućuje širok opseg pokreta.  Dodatni uvid iz izvora: • Rameni zglob je pokretni zglob koji se sastoji od zglobnih tijela: konveksnog (glava nadlaktične kosti) i konkavnog (zglobna čašica lopatice). • Zglob je stabiliziran strukturama kao što su zglobna čahura, zglobna hrskavica i pomoćni dijelovi poput rubne hrskavice (glenoid labrum) te tetiva mišića (npr. m. supraspinatus). • Glavni mišić koji pokriva ovaj zglob je deltoidni mišić (m. deltoideus).	TRUE	TRUE
UFAF	Napisati kako se zovu kosti podlaktice	otvoreno							radius, ulna	U izvorima koji prikazuju podjelu pokreta i osovine (konkretno fleksiju i ekstenziju u zglobu lakta), na anatomskom prikazu podlaktice jasno su imenovane dvije kosti: radius (palčana kost) i ulna (lakatna kost).  Dodatni uvid iz izvora: • Kosti podlaktice (radius i ulna) sudjeluju u pokretima fleksije (pregibanja) i ekstenzije (ispružanja) koji se vrše oko poprečne (transverzalne) osovine u sagitalnoj ravnini. • Također, ove kosti omogućuju specifične pokrete pronacije i supinacije koji se izvode oko uzdužne (longitudinalne) osi u poprečnoj ravnini.	TRUE	TRUE
UFAF	Za dva ili vise misica koji vrse isti pokret kazemo da su	otvoreno							agonisti	U izvorima, pod naslovom "Podjela mišića", izričito je navedeno da su agonisti mišići koji vrše isti pokret. Uz njih se navode i antagonisti (vrše suprotni pokret) te sinergisti (sudjeluju pri pokretu, ali ga sami ne vrše).  Dodatni uvid iz izvora: • Antagonisti su mišići koji vrše suprotni pokret u odnosu na agoniste. • Sinergisti su mišići koji sudjeluju u pokretu, ali ga ne vrše izravno kao agonisti (npr. fiksatori). • Skeletni mišići omogućuju gibanje pod utjecajem volje i čine oko 42% tjelesne mase kod muškaraca, odnosno 39% kod žena.	TRUE	TRUE
UFAF	Kako se zove kontrakcija prilikom koje ne dolazi do promjene duljine misica	otvoreno							izometricka kontrakcija	U izvorima se u poglavlju "Vrste mišićne kontrakcije" izričito navodi izometrička (statička) kontrakcija kao ona kod koje ne dolazi do promjene duljine mišića. Uz nju se spominju koncentrična (mišić se skraćuje) i ekscentrična (mišić se izdužuje).  Dodatni uvid iz izvora: • Koncentrična kontrakcija je ona kod koje se mišić skraćuje. • Ekscentrična kontrakcija je ona kod koje se mišić izdužuje. • Postoji i izokinetička kontrakcija kod koje je kutna brzina pokreta konstantna. • Jedini izvor energije koji mišićna stanica može koristiti za kontrakciju je ATP (adenozintrifosfat).	TRUE	TRUE
UFAF	U kojem se zglobu vrsi fleksija natkoljenice?	otvoreno							u zglobu kuka	U izvorima, pod poglavljem "Podjela pokreta", nalazi se grafički prikaz pokreta fleksije (pregibanja) koji se izvodi upravo u zglobu kuka, pri čemu se natkoljenica pomiče prema naprijed i gore. Navedeno je da se ovaj pokret vrši u sagitalnoj (središnjoj) ravnini oko poprečne (transverzalne) osovine.  Dodatni uvid iz izvora: • Fleksija i ekstenzija su osnovni pokreti koji se uvijek odvijaju u sagitalnoj ravnini oko poprečne osi. • Osim fleksije, u zglobu kuka mogući su i pokreti ekstenzije (ispružanja), abdukcije (odmicanja), adukcije (primicanja) te rotacije. • Zglob kuka je pokretni zglob koji se sastoji od zglobnih tijela, zglobne hrskavice i zglobne čahure koja sadrži sinovijalnu tekućinu za podmazivanje.	TRUE	TRUE
UFAF	Karakteristika ramenog zgloba je	otvoreno							rame je zglob sa mogućnosti izvođenja više različitih vrsta pokreta, rame je zbog svoje građe zglob koji se lako iščaši	Izvori potvrđuju da je rameni zglob najpokretljiviji zglob u ljudskom tijelu. U poglavlju o podjeli pokreta, rameni zglob je prikazan kao zglob koji omogućuje pokrete u svim trima ravninama (sagitalna, frontalna i transverzalna) i oko svih triju osovina: • Fleksija (antefleksija) i ekstenzija (retrofleksija) oko poprečne osovine. • Abdukcija i adukcija oko sagitalne osovine. • Unutrašnja i vanjska rotacija oko uzdužne osovine. Anatomski prikaz u izvoru pokazuje da je zglobna čašica lopatice (glenoid cavity of scapula) znatno manja i plića u odnosu na glavu nadlaktične kosti, što zglobu daje veliku pokretljivost, ali ga istovremeno čini strukturno nestabilnijim i podložnijim iščašenjima (luksacijama).  Dodatni uvid iz izvora: • Zglob je dodatno osiguran strukturama kao što su zglobna hrskavica, glenoidni labrum (rubna hrskavica koja produbljuje čašicu) te tetivama mišića (poput m. supraspinatusa). • Glavni pokretač ramenog zgloba prikazan na slikama je deltoidni mišić (m. deltoideus).	TRUE	TRUE
UFAF	Troglavi misic potkoljenice ___________________________	otvoreno							zove se jos musculus triceps surae, hvata se ahilovom tetivom na petnu kost, nalazi se sa straznje strane potkoljenice	Troglavi mišić potkoljenice (m. triceps surae) doista se nalazi na stražnjoj strani potkoljenice, sastoji se od dvoglava mišića m. gastrocnemius i mišića m. soleus, koji se zajednički hvataju na petnu kost (calcaneus) putem Ahilove tetive.  Dodatni uvid (poveznica s izvorima): • Položaj: Nalazi se na stražnjoj (dorzalnoj) strani tijela. • Funkcija: Njegova glavna funkcija je plantarna fleksija stopala (spuštanje stopala prema dolje), što je pokret koji se odvija u sagitalnoj ravnini oko poprečne osovine, kako je prikazano u poglavlju o podjeli pokreta. • Građa: S obzirom na to da se sastoji od više glava, on spada u kategoriju složenih mišića, slično primjerima koji su navedeni u izvoru o podjeli mišića (npr. m. biceps).	TRUE	TRUE
