Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
UPS	Iceberg profil govori da bi bilo dobro da je sportaš pun energije a niskih tenzija.	višestruki_izbor	DA	NE					A	Prema izvorima, Iceberg (šiljasti) profil definira se kao prikaz profila ličnosti najuspješnijih sportaša. Ovaj profil odlikuju sljedeće karakteristike: • Visoka razina energije (u grafičkim prikazima označena kao "Vigour"). • Niska razina napetosti (tenzija). • Izostanak ili niska razina negativnih stanja poput depresije, ljutnje, zamora, dileme i konfuzije (zbunjenosti). Stoga je tvrdnja da bi sportaš trebao biti pun energije uz niske tenzije u potpunosti u skladu s opisom Iceberg profila iz priloženih materijala.	TRUE	TRUE
UPS	Najbolje psihološki pripremljen za utakmicu je trener.	višestruki_izbor	DA	NE					A	U izvorima se izričito navodi da je trener taj koji mora biti najbolje psihološki pripremljen za utakmicu. Prema materijalima, ta se pripremljenost očituje kroz trenerovu kontrolu misli, ponašanja i emocija. Također, izvori ističu da djeca uče po modelu, pa se može očekivati da će se igrači ponašati onako kako se ponaša i sam trener. Iz tog razloga, trenerova uloga uključuje ne samo stručnost, već i ulogu pedagoga i motivatorа koji svojim primjerom, strpljenjem i odmjerenom komunikacijom stvara radnu atmosferu.	TRUE	TRUE
UPS	Najbolje je često igračima govoriti ono što se dogodilo.	višestruki_izbor	DA	NE					B	Prema izvorima, preporučuje se izbjegavati često i opširno govorenje o onome što se dogodilo iz sljedećih razloga: • Fokus na budućnost umjesto na prošlost: Karakteristika pozitivnog govora je da se sportašu govori što može učiniti (alternative i buduće akcije), dok se negativni govor fokusira na ono što se ne može učiniti ili na ono što se dogodilo (suptilno optuživanje). • Ograničenje informacija: Trenerima se savjetuje da igračima ne daju previše informacija i uputa jer se kapacitet kratkoročnog pamćenja pod stresom smanjuje. Poruke trebaju biti kratke, a važne stvari treba ponoviti, umjesto opširnog analiziranja prošlih događaja. • Odgađanje analize: Izričito se navodi da analizu utakmice (onoga što se dogodilo) treba odgoditi za drugi dan kako bi se smirile emocije, uz krilaticu "jutro je pametnije od večeri". • Dobni uzrast: U didaktici se ističe da, što su učenici mlađi, to usmeno izlaganje mora biti kraće i razumljivije. Umjesto čestog ponavljanja onoga što se dogodilo, trener bi trebao davati poznate i jasne zadatke prema sposobnostima igrača.	TRUE	TRUE
UPS	Igrače treba stalno upozoravati na ono što bi se moglo dogoditi.	višestruki_izbor	DA	NE					B	Prema izvorima, ovakav pristup komunikaciji nije preporučljiv iz nekoliko ključnih razloga: • Fokus na pozitivne akcije: Karakteristika pozitivnog govora je da se sportašu govori što može učiniti i predlažu mu se moguće alternative, dok se negativni govor fokusira na ono što se ne može učiniti. Stalno upozoravanje na potencijalne opasnosti ili ono što bi se moglo dogoditi može zvučati kao suptilno optuživanje ili zastrašivanje, što nije u skladu s poticanjem i ohrabrivanjem sportaša. • Ograničenost kratkoročnog pamćenja: Kapacitet kratkoročnog pamćenja se pod stresom smanjuje, a davanje previše informacija i uputa igračima može dovesti do preopterećenja. Umjesto stalnog upozoravanja, trener bi trebao skratiti poruku, iznijeti samo ono što je važno i po potrebi to ponoviti. • Jasni i poznati zadaci: Izvori savjetuju da se igračima, naročito neposredno pred utakmicu, daju poznati zadaci usklađeni s njihovim sposobnostima, a ne da ih se opterećuje neizvjesnim scenarijima. • Kratkoća izlaganja: U didaktici sporta naglašava se da usmeno izlaganje mora biti kratko, jasno i razumljivo, a što su učenici mlađi, to ono mora biti kraće. Stalno upozoravanje krši ovaj princip ekonomičnosti komunikacije. Umjesto stalnog upozoravanja na buduće moguće probleme, trener treba biti motivator koji postavlja visoka očekivanja, ali istovremeno povećava samopoštovanje i samopouzdanje igrača.	TRUE	TRUE
UPS	Trener bi koji put mogao nagraditi igrača i mimo pravilnika.	višestruki_izbor	DA	NE					B	Iako se u izvorima spominje citat Johna Maddena koji kaže da trener treba imati što manje pravila kako bi ih igrači manje kršili, u pogledu samog sustava nagrađivanja izvori su vrlo jasni i strogi: • Jasnoća i dosljednost: Izričito se navodi da je za nagrade i kazne potrebno jasno postaviti pravila. • Dosljedna primjena: Trener u korištenju nagrada mora biti dosljedan i pravovremen. Nagrađivanje "mimo pravilnika" izravno narušava princip dosljednosti. • Povjerenje: Jedna od ključnih karakteristika učinkovitog trenera je jasno i dosljedno ponašanje, što gradi povjerenje kod sportaša. Postupanje izvan utvrđenih pravila (mimo pravilnika) može ugroziti to povjerenje. • Fokus na ponašanje: Treba nagraditi ponašanje, a ne osobu, pri čemu je važno jasno reći zbog čega je netko nagrađen. Pravilnik služi upravo tome da se unaprijed zna koja se ponašanja vrednuju. Dakle, prema pedagoškim i psihološkim načelima iz izvora, trener ne bi smio nagrađivati igrače mimo pravilnika, već se mora držati jasno postavljenih pravila i biti dosljedan u njihovoj primjeni.	TRUE	TRUE
UPS	Bolje je više pohvaljivati nego kritizirati.	višestruki_izbor	DA	NE					A	U izvorima se izričito navodi da ljudi više vole pohvale nego kritike te da je bolje davati više pohvala nego kritika. Ovakav pristup temelji se na nekoliko pedagoških i psiholoških principa: • Pozitivan govor: Pohvala je dio pozitivnog govora koji potiče i ohrabruje sportaša, dok kritika često spada u negativan govor koji suptilno optužuje. • Samopoštovanje: Korištenje pohvala i nagrada stvara kod sportaša osjećaj samopoštovanja. • "Sendvič pristup": Čak i kada je kritika nužna, izvori preporučuju njezino "pakiranje" u pozitivne tvrdnje. Prema ovom modelu, prvo se iskazuje pozitivna tvrdnja, zatim uputa za budućnost (konstruktivna kritika), a na kraju ohrabrenje ili kompliment. • Motivacija: Pozitivne povratne informacije, poput pohvala, motiviraju igrače i pomažu u izgradnji njihovog samopouzdanja. Izvori također napominju da pohvala ne bi smjela sadržavati skrivenu kritiku te da može biti izražena i neverbalno, primjerice tapšanjem po ramenu.	TRUE	TRUE
UPS	Empatija je sposobnost uživljavanja u tuđe emocije postupke i razmišljanja.	višestruki_izbor	DA	NE					A	Iako se u izvorima pojam "empatija" ne definira doslovno ovom rečenicom, ta je tvrdnja u potpunosti podržana kroz sljedeće koncepte opisane u materijalima: • Emocionalna inteligencija (EQ): Izvori navode da odgoj u užem smislu uključuje izgrađivanje i oblikovanje ličnosti, što obuhvaća i razvoj EQ-a (emocionalne inteligencije). Empatija je temeljni dio emocionalne inteligencije. • Razumijevanje tuđe pozicije: U uputama za uspješnu komunikaciju, posebno u situacijama ljutnje, izričito se savjetuje: "pokušajte shvatiti poziciju druge osobe". To je izravan opis empatijskog procesa uživljavanja u tuđa razmišljanja i situaciju. • Prepoznavanje emocija: Navodi se da treneri igraju ključnu ulogu u tome da pomažu igračima u prepoznavanju i upravljanju emocijama. Također, ističe se da prepoznavanje vlastitih i tuđih emocija vodi prema boljem upravljanju ponašanjem. • Pedagoška uloga trenera: Dobar trener mora biti pedagog i odgajatelj koji poznaje svoje igrače, njihove sposobnosti i interese. To zahtijeva visoku razinu razumijevanja njihovih postupaka i unutarnjih stanja kako bi se stvorila radna atmosfera i pružio pozitivan uzor. Zaključno, sposobnost uživljavanja u tuđe emocije i razmišljanja (empatija) predstavlja ključnu vještinu u okviru psihološke pripreme i uspješne komunikacije koju izvori promiču kao nužnu za učinkovito treniranje.	TRUE	TRUE
UPS	Motivi za samopostovanjem i ugledom su urođeni biološki motivi.	višestruki_izbor	DA	NE					B	Prema izvorima, tvrdnja da su motivi za samopoštovanjem i ugledom urođeni biološki motivi je netočna zbog sljedeće klasifikacije: • Biološki motivi definiraju se kao urođeni ili primarni motivi, a uključuju potrebe za hranom i pićem, seksom, kretanjem, izbjegavanjem boli, odmorom i snom. • Motivi za samopoštovanjem i ugledom ubrajaju se u socijalne, stečene ili sekundarne motive. U ovu skupinu također spadaju motivi za društvom, sigurnošću, moći, samostalnošću i stvaralaštvom. Dakle, budući da se samopoštovanje i ugled stječu kroz socijalizaciju i iskustvo, a ne nasljeđuju biološki, ponuđeni odgovor pod B (NE) je ispravan.	TRUE	TRUE
UPS	Bolje je da su kod igrača izraženiji vanjski ekstrinzični motivi.	višestruki_izbor	DA	NE					B	Prema izvorima, ovakva tvrdnja je netočna iz sljedećih razloga: • Podjela motiva: Motivi se dijele na ekstrinzične (vanjske), koji uključuju pobjedu, nagrade i želju da se razvesele drugi, te na intrinzične (unutarnje) motive. • Važnost unutarnje motivacije: Intrinzični motivi, poput usavršavanja novih znanja i vještina, osobnog doprinosa te uživanja u samoj igri, ključni su za dugoročni razvoj sportaša. • Uloga trenera: Učinkovit trener trebao bi biti motivator na aktivnost i učenje. Cilj psihološke pripreme je optimalizacija osobne motivacije i povećanje samopoštovanja, što se lakše postiže kada sportaš crpi snagu iz unutarnjih razloga, a ne samo iz vanjskih pritisaka ili nagrada. • Rizik od "izgaranja": Iako je motiv za postignućem važan za natjecanje, izvori upozoravaju da igrač može "izgorjeti u želji" ako su ti motivi previsoki ili loše usmjereni. Stoga je pedagoški i psihološki poželjnije da su kod sportaša, osobito kod djece, jače izraženi intrinzični motivi nego vanjski (ekstrinzični).	TRUE	TRUE
UPS	Prevelika motivacija može smanjiti učinak.	višestruki_izbor	DA	NE					A	U izvorima se navodi da je odnos između motivacije i uspjeha specifičan te da motivacija ne bi trebala prelaziti optimalnu granicu: • Rizik od "izgaranja": Iako je motiv za postignućem nužan za sportski uspjeh, izvori izričito upozoravaju da ako je taj motiv previsok, sportaš bi mogao "izgorjeti u želji" da bude uspješan. • Negativne emocije: Strast prema sportu je snažan motivator, ali ako postane preintenzivna, može izazvati bijes, razočaranje i frustraciju, osobito kada ta velika želja ne rezultira trenutnim uspjehom. • Narušavanje izvedbe: Prevelik pritisak i previsoka motivacija mogu dovesti do nesportskog ponašanja i narušavanja timske kemije, što u konačnici smanjuje učinak na terenu. Stoga, unatoč tome što je motivacija ključna za postizanje rezultata, njezina ekstremna razina može biti kontraproduktivna i negativno utjecati na sportsku izvedbu.	TRUE	TRUE
