Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
ZNR	Što se smatra nesrećom na poslu?	višestruki_izbor	svaki događaj koji ima za posljedicu ozljedu na radu	svaki događaj koji ima za posljedicu materijalnu štetu	neželjen i nepredvidljiv događaj koji ima za posljedicu ozljedu radnika, materijalnu štetu na imovini ili zagađenje okoliša				C		TRUE	TRUE
ZNR	Smatra li se ozljedom na radu i ozljeda radnika na redovitom putu od stana do mjesta rada i obrnuto?	višestruki_izbor	da	ne					A		TRUE	TRUE
ZNR	U kojem slučaju imate pravo odbiti rad zbog toga što na radnom mjestu nisu provedene mjere zaštite?	višestruki_izbor	ako primijetite da Vam na radnom mjestu prijeti neposredna opasnost po život	ako primijetite da Vam na radnom mjestu prijeti neposredna opasnost po zdravlje i život	ako primijetite da biste duljim radom na radnom mjestu mogli ugroziti život ili zdravlje				B		TRUE	TRUE
ZNR	Što Vaš rukovoditelj mora učiniti ako primjeti da, usprkos upozorenju, ne primjenjujete propisane mjere zaštite i sigurnosti pri radu?	višestruki_izbor	prijaviti Vas direktoru	odmah Vas udaljiti s radnog mjesta					B		TRUE	TRUE
ZNR	Što trebate učiniti ako primijetite neispravnost na stroju ili uređaju, zbog koje može doći do nezgode pri radu?	višestruki_izbor	obustaviti rad i neispravnost prijaviti svom neposrednom rukovoditelju	obustaviti rad, sami otkloniti neispravnost i nastaviti s radom	obustaviti rad i neispravnost javiti stručnjaku / službi zaštite na radu				A		TRUE	TRUE
ZNR	U kojem roku morate prijaviti svojem neposrednom rukovoditelju ozljedu koju ste doživjeli na radu ili prilikom dolaska ili odlaska s posla?	višestruki_izbor	odmah	u roku od 48 sati	u roku 10 dana				A		TRUE	TRUE
ZNR	Kada se u pravilu tek smiju koristiti osobna zaštitna sredstva?	višestruki_izbor	uvijek kada je potrebno	kada se tehničkim mjerama zaštite opasnosti ne mogu ukloniti	samo u slučaju neposredne izloženosti radnika štetnim utjecajima radne okoline				B		TRUE	TRUE
ZNR	Strani predmet zaboden u ranu:	višestruki_izbor	vadimo prstima	ne vadimo	vadimo pincetom				B		TRUE	TRUE
ZNR	Što moramo učiniti s opečenim dijelom tijela neposredno nakon što smo se opekli?	višestruki_izbor	obavezno taj dio tijela namazati uljem	odmah početi hladiti vodom petnaest minuta te istovremeno poskidati sav nakit sa opečenog dijela tijela. Nakon hlađenja opečeni dio tijela treba sterilno previti i zatražiti liječničku pomoć	postaviti kompresivni zavoj u cilju zaustavljanja krvarenja i sprječavanja infekcije				B		TRUE	TRUE
ZNR	Tko treba kontrolirati ispravnost ručnog alata kojeg Vi upotrebljavate pri svom poslu i koliko često?	višestruki_izbor	to treba barem jednom tjedno raditi Vaš neposredni rukovoditelj	to treba raditi svakodnevno Vaš neposredni rukovoditelj	to trebate činiti Vi prije svake upotrebe				C		TRUE	TRUE
ZNR	Kakav mora biti pod radne prostorije prema važećim propisima?	višestruki_izbor	ravan i hrapav	ravan, gladak i klizav	ravan, gladak ali ne klizav				C		TRUE	TRUE
ZNR	Kako treba pravilno izvlačiti "šuko" utikač iz "šuko" utičnice, da se ne prekine (otpoji) zaštitni vodič?	višestruki_izbor	povlačenjem za kabel	povlačenjem za tijelo utikača	naglim trzajem kabela s veće udaljenosti				B		TRUE	TRUE
ZNR	Mogu li otrovne tvari ući u organizam kroz kožu?	višestruki_izbor	mogu	ne mogu					A		TRUE	TRUE
ZNR	Što se općenito naziva bukom?	višestruki_izbor	svaki zvuk koji prelazi prag čujnosti ljudskog uha	svaki nepoželjan ili neugodan zvuk koji dopire do ljudskog uha	miješanje zvukova raznih frekvencija i intenziteta				B		TRUE	TRUE
